"sp","protocol","lat","lon","date","count"
"rubl","ebird",29.3735739,-95.6230259,2009-01-10,"X"
"rubl","ebird",29.3735739,-95.6230259,2009-01-17,"X"
"rubl","ebird",29.3735739,-95.6230259,2009-01-10,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-11,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-13,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-14,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-15,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-11,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-11,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-11,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-10,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-25,"1"
"rubl","ebird",29.3735739,-95.6230259,2009-01-24,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-23,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-23,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-17,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-23,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-17,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-19,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-17,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-17,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-25,"1"
"rubl","ebird",29.3735739,-95.6230259,2009-01-23,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-23,"4"
"rubl","ebird",29.3735739,-95.6230259,2009-01-25,"1"
"rubl","ebird",29.3735739,-95.6230259,2009-01-26,"1"
"rubl","ebird",29.3735739,-95.6230259,2009-01-30,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-15,"X"
"rubl","ebird",29.3735739,-95.6230259,2009-01-14,"2"
"rubl","ebird",29.3735739,-95.6230259,2009-01-25,"1"
"rubl","ebird",29.3735739,-95.6230259,2009-01-11,"2"
"rubl","ebird",29.8247288,-95.6288409,2009-01-18,"X"
"rubl","ebird",29.8247288,-95.6288409,2009-01-25,"X"
"rubl","ebird",29.8247288,-95.6288409,2009-01-18,"X"
"rubl","ebird",29.8247288,-95.6288409,2009-01-18,"8"
"rubl","ebird",29.8247288,-95.6288409,2009-01-28,"25"
"rubl","ebird",29.8247288,-95.6288409,2009-01-28,"25"
"rubl","ebird",29.8247288,-95.6288409,2009-01-18,"8"
"rubl","ebird",29.8247288,-95.6288409,2009-01-25,"60"
"rubl","blitz",29.823779,-95.629377,2009-01-31,"70"
"rubl","ebird",33.0515286,-95.6008923,2009-01-02,"2"
"rubl","ebird",32.3318184,-95.3642464,2009-01-03,"X"
"rubl","ebird",32.3318184,-95.3642464,2009-01-03,"X"
"rubl","ebird",32.3318184,-95.3642464,2009-01-03,"X"
"rubl","ebird",32.3405208,-95.2981567,2009-01-03,"65"
"rubl","ebird",32.7872024,-97.1033907,2009-01-28,"X"
"rubl","ebird",32.7788738,-97.1312026,2009-01-09,"6"
"rubl","ebird",32.7842795,-97.1266181,2009-01-21,"2"
"rubl","ebird",32.7788738,-97.1312026,2009-01-15,"11"
"rubl","ebird",32.7842795,-97.1266181,2009-01-14,"1"
"rubl","ebird",32.7520551,-97.1369934,2009-01-01,"5"
"rubl","ebird",29.9086314,-96.0055947,2009-01-01,"2"
"rubl","ebird",29.9086314,-96.0055947,2009-01-01,"2"
"rubl","ebird",29.9075154,-96.0032988,2009-01-01,"2"
"rubl","ebird",29.9086314,-96.0055947,2009-01-01,"2"
"rubl","ebird",38.63569,-77.1436948,2009-01-04,"1"
"rubl","ebird",37.2510421,-76.7914234,2009-01-05,"7"
"rubl","ebird",37.2510421,-76.7914234,2009-01-01,"5"
"rubl","ebird",37.2391992,-76.7568424,2009-01-10,"1"
"rubl","ebird",37.2510421,-76.7914234,2009-01-18,"13"
"rubl","ebird",37.2481714,-76.7908931,2009-01-17,"1"
"rubl","ebird",37.2510421,-76.7914234,2009-01-25,"41"
"rubl","ebird",36.6121,-78.2932,2009-01-01,"15"
"rubl","ebird",36.5620246,-78.2887787,2009-01-24,"X"
"rubl","ebird",42.7820472,-89.2103577,2009-01-03,"1"
"rubl","ebird",38.5905877,-82.2325158,2009-01-31,"50"
"rubl","blitz",32.5115556,-86.2450556,2009-02-13,"17"
"rubl","blitz",32.6291667,-85.4061111,2009-02-14,"150"
"rubl","blitz",34.626625,-86.9547528,2009-02-09,"150"
"rubl","blitz",34.622325,-86.9458889,2009-02-09,"500"
"rubl","blitz",32.4997222,-87.8166667,2009-02-09,"29"
"rubl","blitz",30.41463,-88.28466,2009-02-11,"60"
"rubl","ebird",32.3162425,-86.3071668,2009-02-28,"4"
"rubl","ebird",32.3162425,-86.3071668,2009-02-08,"20"
"rubl","ebird",32.3492043,-86.4168262,2009-02-08,"96"
"rubl","ebird",32.3162425,-86.3071668,2009-02-22,"15"
"rubl","blitz",34.5557667,-86.950375,2009-02-13,"100"
"rubl","blitz",34.5549083,-86.8473833,2009-02-11,"180"
"rubl","blitz",34.5652056,-86.9047639,2009-02-12,"94"
"rubl","blitz",34.3408848,-91.6064072,2009-02-09,"400"
"rubl","blitz",34.099,-91.169,2009-02-15,"103"
"rubl","blitz",36.3534131,-94.3628812,2009-02-08,"30"
"rubl","blitz",36.349167,-94.287224,2009-02-15,"3"
"rubl","blitz",36.3291634,-94.2812347,2009-02-15,"28"
"rubl","ebird",36.3294399,-94.2857838,2009-02-15,"28"
"rubl","blitz",36.349167,-94.287224,2009-02-12,"5"
"rubl","blitz",33.2932296,-91.1707306,2009-02-16,"406"
"rubl","ebird",34.0721421,-93.0605507,2009-02-24,"2"
"rubl","ebird",35.153951,-90.0890493,2009-02-16,"8"
"rubl","ebird",33.8141971,-91.2258257,2009-02-21,"X"
"rubl","ebird",33.686999,-91.270071,2009-02-21,"X"
"rubl","blitz",34.1126573,-91.0842133,2009-02-16,"33"
"rubl","blitz",35.287097,-92.2864598,2009-02-14,"2"
"rubl","blitz",35.0833,-92.45,2009-02-13,"200"
"rubl","ebird",35.3093119,-94.038806,2009-02-14,"22"
"rubl","ebird",35.2980345,-94.0567017,2009-02-14,"22"
"rubl","ebird",33.9547519,-93.8253021,2009-02-08,"3"
"rubl","ebird",34.766,-91.9077,2009-02-20,"10"
